24|RURAL|LOCD|COAPIX||2|ACATENO
24|RURAL|LOCD|COPALES||2|ACATENO
24|RURAL|LOCD|EL GIRASOL||2|ACATENO
24|RURAL|LOCD|EL GUAYABAL||2|ACATENO
24|RURAL|LOCD|EL UVERO||2|ACATENO
24|RURAL|LOCD|LA SOLEDAD||2|ACATENO
24|RURAL|LOCD|LOMA DE LA CRUZ||2|ACATENO
24|RURAL|LOCD|MONTE LIMPIO||2|ACATENO
24|RURAL|LOCD|TEPALCATZIN||2|ACATENO
24|RURAL|LOCD|TRES MARIAS O CORRALEJO||2|ACATENO
25|RURAL|LOCD|EL AGUILA||2|ACATENO
25|RURAL|LOCD|EL PALENQUE||2|ACATENO
25|RURAL|LOCD|PALO GACHO||2|ACATENO
25|RURAL|LOCD|TIOSTOC||2|ACATENO
26|RURAL|LOCD|AYOTEACO||2|ACATENO
26|RURAL|LOCD|COAPAN CHICO||2|ACATENO
26|RURAL|LOCD|COAPAN GRANDE||2|ACATENO
26|RURAL|LOCD|DOS AGUAS||2|ACATENO
26|RURAL|LOCD|EJIDO TOPILA PALO GACHO||2|ACATENO
26|RURAL|LOCD|EL TAMARINDO||2|ACATENO
26|RURAL|LOCD|LA CANTINA||2|ACATENO
26|RURAL|LOCD|LA HIGUERA||2|ACATENO
26|RURAL|LOCD|LA NUEVA ESPERANZA||2|ACATENO
26|RURAL|LOCD|LA PALMA||2|ACATENO
26|RURAL|LOCD|PLAN DE MARIA||2|ACATENO
26|RURAL|LOCD|TOPILA||2|ACATENO
26|RURAL|LOCD|ZALZONTLA||2|ACATENO
26|RURAL|LOCD|ZANJA MALA||2|ACATENO
26|RURAL|LOCD|ZONQUIMIXTLA||2|ACATENO
26|RURAL|LOCD|ZONTECOMAPA||2|ACATENO
27|RURAL(A)|LOCALIDAD|EJIDO PALO GACHO|73590.0|2|ACATENO
27|RURAL(A)|LOCALIDAD|JILIAPA|73591.0|2|ACATENO
28|URBANO(A)|SECCION|2a SECCION DE 3 CRUCES|74949.0|3|ACATLAN
28|URBANO(A)|COLONIA|BELLA VISTA|74949.0|3|ACATLAN
28|URBANO(A)|COLONIA|DEL MAESTRO|74949.0|3|ACATLAN
28|URBANO(A)|UNIDAD HABITACIONAL|FOVISSSTE|74949.0|3|ACATLAN
28|URBANO(A)|COLONIA|INDEPENDENCIA|74949.0|3|ACATLAN
28|URBANO(A)|COLONIA|LA NORMAL|74949.0|3|ACATLAN
28|URBANO(A)|UNIDAD HABITACIONAL|LA PROVIDENCIA|74949.0|3|ACATLAN
28|URBANO(A)|COLONIA|MINA HUECA|74949.0|3|ACATLAN
28|URBANO(A)|FRACCIONAMIENTO|MONTE CAMPOS|74949.0|3|ACATLAN
28|URBANO(A)|FRACCIONAMIENTO|SAN GABRIEL|74949.0|3|ACATLAN
28|URBANO(A)|BARRIO|SAN MIGUEL|74949.0|3|ACATLAN
28|URBANO(A)|FRACCIONAMIENTO|SAN MIGUEL O LIBERTAD|74949.0|3|ACATLAN
28|URBANO(A)|FRACCIONAMIENTO|SANTA ANA|74949.0|3|ACATLAN
28|URBANO(A)|FRACCIONAMIENTO|SANTA ROSA|74949.0|3|ACATLAN
29|URBANO(A)|SECCION|1a SECCION DE TRES CRUCES|74949.0|3|ACATLAN
29|URBANO(A)|SECCION|2a SECCION DE 3 CRUCES|74949.0|3|ACATLAN
29|URBANO(A)|FRACCIONAMIENTO|CUANEXTLE|74949.0|3|ACATLAN
29|URBANO(A)|PUEBLO|LA TRINIDAD|74941.0|3|ACATLAN
29|URBANO(A)|COLONIA|NUEVO SAN JOSE|74949.0|3|ACATLAN
29|URBANO(A)|BARRIO|SAN ANTONIO|74949.0|3|ACATLAN
29|URBANO(A)|BARRIO|SAN JOSE|74949.0|3|ACATLAN
29|URBANO(A)|BARRIO|SAN MIGUEL|74949.0|3|ACATLAN
